match_id,season,date,kickoff_time,home_team_id,away_team_id,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_history_matches,away_history_matches,home_home_goals_scored_avg,home_home_goals_conceded_avg,home_home_matches,away_away_goals_scored_avg,away_away_goals_conceded_avg,away_away_matches,home_recent5_scored,home_recent5_conceded,home_recent5_matches,away_recent5_scored,away_recent5_conceded,away_recent5_matches,home_recent10_scored,home_recent10_conceded,home_recent10_matches,away_recent10_scored,away_recent10_conceded,away_recent10_matches,league_matches_before,league_goals_avg,target_total_goals,target_over25
2015_16_20150808_BOU_AVL,2015_16,2015-08-08,,BOU,AVL,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,1,0
2015_16_20150808_CHE_SWA,2015_16,2015-08-08,,CHE,SWA,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,1,1.0,4,1
2015_16_20150808_EVE_WAT,2015_16,2015-08-08,,EVE,WAT,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,2,2.5,4,1
2015_16_20150808_LEI_SUN,2015_16,2015-08-08,,LEI,SUN,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,3,3.0,6,1
2015_16_20150808_MUN_TOT,2015_16,2015-08-08,,MUN,TOT,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,4,3.75,1,0
2015_16_20150808_NOR_CRY,2015_16,2015-08-08,,NOR,CRY,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,5,3.2,4,1
2015_16_20150809_ARS_WHU,2015_16,2015-08-09,,ARS,WHU,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,6,3.3333333333333335,2,0
2015_16_20150809_NEW_SOU,2015_16,2015-08-09,,NEW,SOU,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,7,3.142857142857143,4,1
2015_16_20150809_STK_LIV,2015_16,2015-08-09,,STK,LIV,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,8,3.25,1,0
2015_16_20150810_WBA_MCI,2015_16,2015-08-10,,WBA,MCI,,,,,0,0,,,0,,,0,,,0,,,0,,,0,,,0,9,3.0,3,1
2015_16_20150814_AVL_MUN,2015_16,2015-08-14,,AVL,MUN,1.0,0.0,1.0,0.0,1,1,,,0,,,0,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,10,3.0,1,0
2015_16_20150815_SOU_EVE,2015_16,2015-08-15,,SOU,EVE,2.0,2.0,2.0,2.0,1,1,,,0,,,0,2.0,2.0,1,2.0,2.0,1,2.0,2.0,1,2.0,2.0,1,11,2.8181818181818183,3,1
2015_16_20150815_SUN_NOR,2015_16,2015-08-15,,SUN,NOR,2.0,4.0,1.0,3.0,1,1,,,0,,,0,2.0,4.0,1,1.0,3.0,1,2.0,4.0,1,1.0,3.0,1,12,2.8333333333333335,4,1
