bucket,matches,mean_market_probability,actual_over_rate,mean_residual,mean_abs_residual,residual_std,standard_error,ci_95_low,ci_95_high,significant_95,variable,analysis,season
"(0.299, 0.35]",7,0.3406332173695426,0.14285714285714285,-0.19777607451239973,0.3846154880821236,0.37563966128600706,0.14197844661933026,-0.4760538298862871,0.0805016808614876,False,market_over_probability,market_probability,
"(0.35, 0.4]",95,0.38368970044524553,0.3473684210526316,-0.036321279392613946,0.46339395369774095,0.4776465388654784,0.04900550088243811,-0.13237206112219263,0.059729502336964745,False,market_over_probability,market_probability,
"(0.4, 0.45]",348,0.42695557290783587,0.4166666666666667,-0.010288906241169175,0.4865998733910011,0.49266569414505723,0.02640965330887395,-0.06205182672656211,0.04147401424422376,False,market_over_probability,market_probability,
"(0.45, 0.5]",635,0.47677390507509465,0.4881889763779528,0.011415071302858125,0.49838308987490204,0.49939094117112887,0.019817724990951552,-0.027427669679406914,0.05025781228512317,False,market_over_probability,market_probability,
"(0.5, 0.55]",758,0.5261256820627538,0.5329815303430079,0.00685584828025413,0.4975877677574113,0.498756122600709,0.018115638145657406,-0.028650802485234383,0.042362499045742644,False,market_over_probability,market_probability,
"(0.55, 0.6]",722,0.573933182055884,0.5844875346260388,0.01055435257015485,0.48702310902000046,0.49286066902902614,0.01834237480266121,-0.025396702043061124,0.046505407183370824,False,market_over_probability,market_probability,
"(0.6, 0.65]",493,0.6224549137539737,0.6064908722109533,-0.015964041543020387,0.47286170850323966,0.48814024310622256,0.021984730868460155,-0.05905411404520229,0.02712603095916152,False,market_over_probability,market_probability,
"(0.65, 0.7]",242,0.6716240515375449,0.6735537190082644,0.0019296674707194666,0.4408050066276493,0.47048475936186346,0.03024390579906315,-0.05734838789544431,0.06120772283688324,False,market_over_probability,market_probability,
"(0.7, 0.75]",95,0.7183748285216411,0.6736842105263158,-0.044690617995325345,0.4226168125450347,0.46991722591354135,0.04821249010592023,-0.139187098602929,0.0498058626122783,False,market_over_probability,market_probability,
"(0.75, 0.8]",25,0.7682984526271035,0.8,0.03170154737289651,0.33818209410508643,0.40735981502643615,0.08147196300528722,-0.12798350011746643,0.19138659486325946,False,market_over_probability,market_probability,
"(0.8, 0.85]",0,,,,,,,,,False,market_over_probability,market_probability,
"(0.85, 0.9]",0,,,,,,,,,False,market_over_probability,market_probability,
"(0.9, 0.95]",0,,,,,,,,,False,market_over_probability,market_probability,
"(0.95, 1.0]",0,,,,,,,,,False,market_over_probability,market_probability,
"(0.999, 1.4]",211,0.7105211474390303,0.6824644549763034,-0.028056692462726837,0.4203082364517227,0.4643958202658481,0.031970326724985496,-0.09071853284369841,0.03460514791824473,False,market_over_odds,market_odds,
"(1.4, 1.6]",731,0.6276150809572024,0.625170998632011,-0.002444082325191509,0.46650246506394444,0.48335914576541217,0.01787768380912436,-0.03748434259107525,0.032596177940692236,False,market_over_odds,market_odds,
"(1.6, 1.8]",997,0.5591879726703133,0.5687061183550652,0.009518145684751836,0.4913051172695351,0.4952948732545343,0.01568614602135384,-0.02122670051710169,0.040262991886605363,False,market_over_odds,market_odds,
"(1.8, 2.0]",726,0.5028081237800258,0.5110192837465565,0.00821115996653066,0.4994229726576386,0.49994464116979503,0.01855468591673984,-0.02815602443027943,0.04457834436334075,False,market_over_odds,market_odds,
"(2.0, 2.25]",519,0.45258618955181384,0.4605009633911368,0.007914773839322901,0.4954956663183387,0.4984032407295143,0.021877474112535638,-0.034965075421246945,0.05079462309989275,False,market_over_odds,market_odds,
"(2.25, 2.5]",199,0.40507811170061947,0.37185929648241206,-0.03321881521820745,0.4753738241766225,0.4843560477412925,0.03433508987759225,-0.10051559137828825,0.03407796094187335,False,market_over_odds,market_odds,
"(2.5, 3.0]",37,0.3634551641263483,0.24324324324324326,-0.12021192088310505,0.4284726051580706,0.4334961395314286,0.07126632633974873,-0.25989392050901255,0.019470078742802474,False,market_over_odds,market_odds,
"(3.0, 10.0]",0,,,,,,,,,False,market_over_odds,market_odds,
"(-1.001, -0.1]",1,0.4778067885117493,0.0,-0.4778067885117493,0.4778067885117493,,,,,False,model_market_difference,model_market_disagreement,
"(-0.1, -0.05]",10,0.5281500846059045,0.6,0.07184991539409535,0.4981656706690042,0.5287383771813111,0.16720175582341423,-0.25586552601979656,0.39956535680798727,False,model_market_difference,model_market_disagreement,
"(-0.05, -0.025]",134,0.542246143026096,0.5522388059701493,0.009992662944053243,0.4772972701545481,0.48780122392304354,0.04213960753070601,-0.07260096781613054,0.09258629370423702,False,model_market_difference,model_market_disagreement,
"(-0.025, 0.0]",1168,0.5354835396000885,0.5402397260273972,0.004756186427308711,0.4853171277028977,0.4933227055344869,0.014434763848413816,-0.023535950715582368,0.03304832357019979,False,model_market_difference,model_market_disagreement,
