section,selection,observations,mean_model_edge,median_model_edge,mean_fair_clv,median_fair_clv,positive_clv_rate,correlation,edge_bucket,mean_model_probability,mean_opening_fair_probability,mean_closing_fair_probability,mean_closing_difference,actual_selection_rate,model_probability,brier_score,model_selection_probability,mean_predicted,actual_rate,calibration_error,season,metric,value
selection_summary,OVER,2654.0,-0.020849128304625465,-0.01837752606083043,-0.004291629073633244,0.0,0.3583270535041447,-0.007184481211170419,,,,,,,,,,,,,,,
selection_summary,UNDER,2654.0,0.020849128304625486,0.018377526060830485,0.004744932731211397,0.0,0.4065561416729465,-0.002161484230542097,,,,,,,,,,,,,,,
edge_bucket_summary,,337.0,-0.13297057768670834,,0.0009035950814833012,0.0,0.3798219584569733,,< -10%,0.5401331332468867,0.673103710933595,0.6737401772284275,-0.13360704398154075,,,,,,,,,,
edge_bucket_summary,,824.0,-0.07030191792562769,,-0.002575899310666578,0.0,0.35194174757281554,,-10 to -5%,0.5190653301219802,0.589367248047608,0.5878232270576769,-0.06875789693569659,,,,,,,,,,
edge_bucket_summary,,698.0,-0.036686405835149836,,0.0006398465020664085,0.0,0.39111747851002865,,-5 to -2.5%,0.5101381820243989,0.5468245878595487,0.5471003521919178,-0.036962170167518855,,,,,,,,,,
edge_bucket_summary,,471.0,-0.017449208465821243,,-0.004937369795404314,0.0,0.35881104033970274,,-2.5 to -1%,0.5041092556226751,0.5215584640884963,0.518979649711134,-0.014870394088458914,,,,,,,,,,
edge_bucket_summary,,324.0,-0.0048628110569430266,,0.0022608269149161325,0.0,0.4228395061728395,,-1 to 0%,0.4981830172337328,0.5030458282906759,0.5040311514723926,-0.005848134238659823,,,,,,,,,,
edge_bucket_summary,,324.0,0.004862811056943043,,-0.0017651233010318635,0.0,0.38580246913580246,,0 to 1%,0.5018169827662672,0.49695417170932416,0.49596884852760736,0.005848134238659843,,,,,,,,,,
edge_bucket_summary,,471.0,0.017449208465821268,,0.0054549187952025215,0.0,0.43312101910828027,,1 to 2.5%,0.495890744377325,0.47844153591150373,0.4810203502888661,0.014870394088458933,,,,,,,,,,
edge_bucket_summary,,698.0,0.03668640583514985,,-0.0004994813420301987,0.0,0.37822349570200575,,2.5 to 5%,0.4898618179756012,0.4531754121404513,0.4528996478080823,0.036962170167518876,,,,,,,,,,
edge_bucket_summary,,824.0,0.0703019179256277,,0.0039034147410622225,0.0,0.39805825242718446,,5 to 10%,0.48093466987801975,0.41063275195239207,0.41217677294232313,0.0687578969356966,,,,,,,,,,
