section,metric,group,value,observations,secondary_value,tertiary_value
calibration,probability_bin,55-60%,0.61101243339254,563,0.5676383566495867,-0.04337407674295324
calibration,probability_bin,40-45%,0.61101243339254,563,0.43236164335041316,-0.1786507900421268
calibration,probability_bin,50-55%,0.532051282051282,2028,0.5207694949164761,-0.011281787134805987
calibration,probability_bin,45-50%,0.532051282051282,2028,0.47923050508352394,-0.05282077696775811
calibration,probability_bin,60-65%,0.6229508196721312,61,0.6141192088175517,-0.008831610854579508
calibration,probability_bin,35-40%,0.6229508196721312,61,0.3858807911824483,-0.2370700284896829
calibration,probability_bin,65-70%,0.0,2,0.6607108042292973,0.6607108042292973
calibration,probability_bin,30-35%,0.0,2,0.3392891957707027,0.3392891957707027
edge_direction,actual_rate,MODEL_HIGHER,0.5504898266767144,2654,0.48581088697823943,0.4337607346444325
edge_direction,actual_rate,MODEL_LOWER,0.5504898266767144,2654,0.5141891130217605,0.5662392653555676
edge_bucket,actual_rate,< -10%,0.6617210682492581,337,0.5401331332468868,0.673103710933595
edge_bucket,actual_rate,-10 to -5%,0.5242718446601942,824,0.5190653301219802,0.589367248047608
edge_bucket,actual_rate,-5 to -2.5%,0.5286532951289399,698,0.5101381820243989,0.5468245878595487
edge_bucket,actual_rate,-2.5 to -1%,0.5456475583864119,471,0.5041092556226751,0.5215584640884963
edge_bucket,actual_rate,-1 to 0%,0.5555555555555556,324,0.4981830172337328,0.5030458282906758
edge_bucket,actual_rate,0 to 1%,0.5555555555555556,324,0.5018169827662672,0.4969541717093242
edge_bucket,actual_rate,1 to 2.5%,0.5456475583864119,471,0.495890744377325,0.47844153591150373
edge_bucket,actual_rate,2.5 to 5%,0.5286532951289399,698,0.4898618179756012,0.4531754121404513
edge_bucket,actual_rate,5 to 10%,0.5242718446601942,824,0.4809346698780197,0.41063275195239196
edge_bucket,actual_rate,>10%,0.6617210682492581,337,0.4598668667531132,0.32689628906640494
selection,actual_rate,OVER,0.5504898266767144,2654,0.527834655164151,0.5486837834687766
selection,actual_rate,UNDER,0.5504898266767144,2654,0.472165344835849,0.4513162165312235
season,brier_difference,2019_20,-0.008087139935546495,758,0.2509968163676313,0.2590839563031778
season,brier_difference,2020_21,-0.004833936525618698,758,0.2512874686182665,0.2561214051438852
season,brier_difference,2021_22,-0.004836113042452572,758,0.25133299338400833,0.2561691064264609
season,brier_difference,2022_23,-0.00438590397666716,758,0.2515411403238232,0.25592704430049035
season,brier_difference,2023_24,-0.012261558758396962,758,0.25223794218247236,0.2644995009408693
season,brier_difference,2024_25,-0.009944293306935803,758,0.25312517523381506,0.26306946854075086
season,brier_difference,2025_26,-0.0035331921960086166,760,0.2521009454990509,0.2556341376950595
overall,model_brier,ALL,0.251803323841498,5308,0.2586423831468003,0.25939623932260314
overall,model_log_loss,ALL,0.6967981955113057,5308,0.7114824411970736,0.7132095656276309
overall,edge_error_correlation,ALL,-3.790363893663968e-17,5308,,
overall,model_market_correlation,ALL,0.7695444053467907,5308,0.7334541334475513,
coverage,clv_only_matches,ALL,6.0,2660,2654.0,
