section,metric,value,observations,note
lambda,minimum,2.4672527796316155,5308,
lambda,maximum,3.4428326405995,5308,
lambda,mean,2.7912990427406226,5308,
probability,stored_model_minimum,0.3315504421076882,5308,
probability,stored_model_maximum,0.6684495578923118,5308,
probability,stored_model_mean,0.5,5308,
poisson,maximum_reconstruction_sum_error,0.0,5308,
poisson,mean_reconstruction_sum_error,0.0,5308,
probability,lambda_to_stored_probability_correlation,-4.4491840033517866e-17,5308,
probability,lambda_to_reconstructed_over_correlation,0.9995708435336367,5308,
mapping,max_stored_over_reconstruction_error,3.885780586188048e-16,5308,
mapping,max_stored_under_reconstruction_error,3.3306690738754696e-16,5308,
mapping,max_stored_over_under_sum_error,0.0,5308,
mapping,max_selection_mapping_error,3.885780586188048e-16,5308,
